ratio	huge-per-pkt	norm-per-pkt	huge	norm	event
0.9798	1.2826	1.309	127232014	129849801	arm_cmn/hnf_qos_pocq_occupancy_all,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_pocq_occupancy_atomic,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_pocq_occupancy_atomic,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_pocq_occupancy_atomic,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_pocq_occupancy_atomic,nodeid=0x48/
0.9808	0.6146	0.6267	60971071	62164816	arm_cmn/hnf_qos_pocq_occupancy_read,nodeid=0x24/
0.9781	0.6712	0.6863	66583888	68076686	arm_cmn/hnf_qos_pocq_occupancy_read,nodeid=0x28/
0.9828	0.6603	0.6719	65499179	66647828	arm_cmn/hnf_qos_pocq_occupancy_read,nodeid=0x44/
0.9842	0.7032	0.7145	69753248	70874948	arm_cmn/hnf_qos_pocq_occupancy_read,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_pocq_occupancy_stash,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_pocq_occupancy_stash,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_pocq_occupancy_stash,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_pocq_occupancy_stash,nodeid=0x48/
0.9704	0.5174	0.5332	51323323	52889695	arm_cmn/hnf_qos_pocq_occupancy_write,nodeid=0x24/
0.9689	0.5551	0.5729	55069862	56834880	arm_cmn/hnf_qos_pocq_occupancy_write,nodeid=0x28/
0.9743	0.5531	0.5677	54863224	56311270	arm_cmn/hnf_qos_pocq_occupancy_write,nodeid=0x44/
0.9748	0.5794	0.5944	57474019	58960933	arm_cmn/hnf_qos_pocq_occupancy_write,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_seq_full,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_seq_full,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_seq_full,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_seq_full,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_seq_hit,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_seq_hit,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_seq_hit,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_seq_hit,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sf_evictions,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sf_evictions,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sf_evictions,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sf_evictions,nodeid=0x48/
0.9741	3.1525	3.2362	312730290	321029465	arm_cmn/hnf_sf_hit,nodeid=0x24/
0.9725	3.2142	3.3052	318851538	327875170	arm_cmn/hnf_sf_hit,nodeid=0x28/
0.9775	3.1747	3.2477	314928707	322168520	arm_cmn/hnf_sf_hit,nodeid=0x44/
0.9792	3.2709	3.3402	324474656	331352529	arm_cmn/hnf_sf_hit,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_brd_snp_sent,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_brd_snp_sent,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_brd_snp_sent,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_brd_snp_sent,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_dir_snp_sent,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_dir_snp_sent,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_dir_snp_sent,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_dir_snp_sent,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_intv,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_intv,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_intv,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_sfbi_intv,nodeid=0x48/
1.2513	0.0678	0.0542	6724652	5374034	arm_cmn/hnf_slc_eviction,nodeid=0x24/
1.2737	0.0701	0.055	6949139	5456062	arm_cmn/hnf_slc_eviction,nodeid=0x28/
1.2482	0.0685	0.0549	6798047	5446460	arm_cmn/hnf_slc_eviction,nodeid=0x44/
1.2917	0.0694	0.0538	6888885	5333351	arm_cmn/hnf_slc_eviction,nodeid=0x48/
0.9591	2.0308	2.1174	201450634	210044283	arm_cmn/hnf_slc_fill_invalid_way,nodeid=0x24/
0.957	2.0672	2.1601	205068501	214286314	arm_cmn/hnf_slc_fill_invalid_way,nodeid=0x28/
0.963	2.0574	2.1365	204090694	211938354	arm_cmn/hnf_slc_fill_invalid_way,nodeid=0x44/
0.9623	2.0888	2.1706	207205207	215322139	arm_cmn/hnf_slc_fill_invalid_way,nodeid=0x48/
0.9737	3.2384	3.3259	321252227	329932206	arm_cmn/hnf_slc_sf_cache_access,nodeid=0x24/
0.9722	3.2969	3.3911	327050707	336398525	arm_cmn/hnf_slc_sf_cache_access,nodeid=0x28/
0.9766	3.2553	3.3335	322930213	330682438	arm_cmn/hnf_slc_sf_cache_access,nodeid=0x44/
0.9778	3.3599	3.4361	333297976	340861241	arm_cmn/hnf_slc_sf_cache_access,nodeid=0x48/
0.9896	0.4274	0.4319	42396144	42839825	arm_cmn/hnf_snp_fwded,nodeid=0x24/
0.9898	0.4344	0.4389	43092061	43534929	arm_cmn/hnf_snp_fwded,nodeid=0x28/
0.9901	0.4231	0.4273	41972564	42390240	arm_cmn/hnf_snp_fwded,nodeid=0x44/
0.9896	0.4498	0.4545	44618668	45089851	arm_cmn/hnf_snp_fwded,nodeid=0x48/
0.9907	0.7311	0.738	72525301	73206997	arm_cmn/hnf_snp_sent,nodeid=0x24/
0.9909	0.7467	0.7536	74075508	74759071	arm_cmn/hnf_snp_sent,nodeid=0x28/
0.9931	0.7253	0.7303	71950705	72450457	arm_cmn/hnf_snp_sent,nodeid=0x44/
0.9944	0.772	0.7764	76586137	77020175	arm_cmn/hnf_snp_sent,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_snp_sent_untrk,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_snp_sent_untrk,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_snp_sent_untrk,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_snp_sent_untrk,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_stash_data_pull,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_stash_data_pull,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_stash_data_pull,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_stash_data_pull,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_stash_snp_sent,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_stash_snp_sent,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_stash_snp_sent,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_stash_snp_sent,nodeid=0x48/
0.8982	0.1791	0.1993	17762613	19775218	arm_cmn/hnf_txdat_stall,nodeid=0x24/
0.8724	0.2246	0.2575	22283784	25542980	arm_cmn/hnf_txdat_stall,nodeid=0x28/
0.8952	0.0647	0.0723	6422880	7174913	arm_cmn/hnf_txdat_stall,nodeid=0x44/
0.8603	0.0816	0.0948	8093604	9407345	arm_cmn/hnf_txdat_stall,nodeid=0x48/
0.8988	0.0002	0.0002	17718	19714	arm_cmn/hnf_txrsp_stall,nodeid=0x24/
0.771	0.0003	0.0004	32092	41623	arm_cmn/hnf_txrsp_stall,nodeid=0x28/
0.7255	0.0003	0.0004	27136	37405	arm_cmn/hnf_txrsp_stall,nodeid=0x44/
1.0222	0.0002	0.0002	21571	21103	arm_cmn/hnf_txrsp_stall,nodeid=0x48/
